state,district,period,biometric_update_count
Gujarat,Surat,2025-05,271
Gujarat,Surat,2025-06,287
Gujarat,Surat,2025-07,190
Gujarat,Surat,2025-08,1283
Gujarat,Surat,2025-09,1367
Gujarat,Surat,2025-10,1286
Gujarat,Surat,2025-11,1386
Gujarat,Surat,2025-12,1469
Gujarat,Surat,NaT,7525
Gujarat,Surendra Nagar,2025-01,70826
Gujarat,Surendra Nagar,2025-02,455
Gujarat,Surendra Nagar,2025-03,476
Gujarat,Surendra Nagar,2025-04,456
Gujarat,Surendra Nagar,2025-05,24
Gujarat,Surendra Nagar,2025-06,366
Gujarat,Surendra Nagar,2025-07,3
Gujarat,Surendra Nagar,2025-08,412
Gujarat,Surendra Nagar,2025-09,455
Gujarat,Surendra Nagar,2025-10,664
Gujarat,Surendra Nagar,2025-11,616
Gujarat,Surendra Nagar,2025-12,502
Gujarat,Surendra Nagar,NaT,2415
Gujarat,Surendranagar,2025-01,11
Gujarat,Surendranagar,2025-02,12
Gujarat,Surendranagar,2025-03,10
Gujarat,Surendranagar,2025-04,5
Gujarat,Surendranagar,2025-05,1
Gujarat,Surendranagar,2025-06,7
Gujarat,Surendranagar,2025-08,11
Gujarat,Surendranagar,2025-09,8
Gujarat,Surendranagar,2025-10,16
Gujarat,Surendranagar,2025-11,10
Gujarat,Surendranagar,2025-12,12
Gujarat,Surendranagar,NaT,46
Gujarat,Tapi,2025-01,26671
Gujarat,Tapi,2025-02,179
Gujarat,Tapi,2025-03,165
Gujarat,Tapi,2025-04,199
Gujarat,Tapi,2025-05,21
Gujarat,Tapi,2025-06,91
Gujarat,Tapi,2025-07,1
Gujarat,Tapi,2025-08,264
Gujarat,Tapi,2025-09,266
Gujarat,Tapi,2025-10,210
Gujarat,Tapi,2025-11,215
Gujarat,Tapi,2025-12,235
Gujarat,Tapi,NaT,1414
Gujarat,The Dangs,2025-01,21231
Gujarat,The Dangs,2025-02,214
Gujarat,The Dangs,2025-03,179
Gujarat,The Dangs,2025-04,138
Gujarat,The Dangs,2025-05,3
Gujarat,The Dangs,2025-06,50
Gujarat,The Dangs,2025-07,3
Gujarat,The Dangs,2025-08,181
Gujarat,The Dangs,2025-09,215
Gujarat,The Dangs,2025-10,140
Gujarat,The Dangs,2025-11,141
Gujarat,The Dangs,2025-12,203
Gujarat,The Dangs,NaT,848
Gujarat,Vadodara,2025-01,137356
Gujarat,Vadodara,2025-02,877
Gujarat,Vadodara,2025-03,904
Gujarat,Vadodara,2025-04,629
Gujarat,Vadodara,2025-05,21
Gujarat,Vadodara,2025-06,481
Gujarat,Vadodara,2025-07,109
Gujarat,Vadodara,2025-08,1101
Gujarat,Vadodara,2025-09,1101
Gujarat,Vadodara,2025-10,1018
Gujarat,Vadodara,2025-11,1119
Gujarat,Vadodara,2025-12,1110
Gujarat,Vadodara,NaT,5937
Gujarat,Valsad,2025-01,57210
Gujarat,Valsad,2025-02,613
Gujarat,Valsad,2025-03,514
Gujarat,Valsad,2025-04,351
Gujarat,Valsad,2025-05,45
Gujarat,Valsad,2025-06,179
Gujarat,Valsad,2025-07,12
Gujarat,Valsad,2025-08,517
Gujarat,Valsad,2025-09,525
Gujarat,Valsad,2025-10,432
Gujarat,Valsad,2025-11,528
Gujarat,Valsad,2025-12,552
Gujarat,Valsad,NaT,2947
Haryana,Ambala,2025-01,48803
Haryana,Ambala,2025-02,250
Haryana,Ambala,2025-03,50
Haryana,Ambala,2025-04,164
Haryana,Ambala,2025-05,273
Haryana,Ambala,2025-06,129
Haryana,Ambala,2025-07,1
Haryana,Ambala,2025-08,355
Haryana,Ambala,2025-09,409
Haryana,Ambala,2025-10,340
Haryana,Ambala,2025-11,407
Haryana,Ambala,2025-12,393
Haryana,Ambala,NaT,2232
Haryana,Bhiwani,2025-01,63091
Haryana,Bhiwani,2025-02,252
Haryana,Bhiwani,2025-03,448
Haryana,Bhiwani,2025-04,368
Haryana,Bhiwani,2025-05,424
Haryana,Bhiwani,2025-06,286
Haryana,Bhiwani,2025-07,7
Haryana,Bhiwani,2025-08,457
Haryana,Bhiwani,2025-09,449
Haryana,Bhiwani,2025-10,403
Haryana,Bhiwani,2025-11,445
Haryana,Bhiwani,2025-12,452
Haryana,Bhiwani,NaT,2520
Haryana,Charkhi Dadri,2025-01,6465
Haryana,Charkhi Dadri,2025-02,47
Haryana,Charkhi Dadri,2025-03,45
Haryana,Charkhi Dadri,2025-04,30
Haryana,Charkhi Dadri,2025-05,26
Haryana,Charkhi Dadri,2025-06,20
Haryana,Charkhi Dadri,2025-08,78
Haryana,Charkhi Dadri,2025-09,60
Haryana,Charkhi Dadri,2025-10,21
Haryana,Charkhi Dadri,2025-11,52
Haryana,Charkhi Dadri,2025-12,23
Haryana,Charkhi Dadri,NaT,200
Haryana,Faridabad,2025-01,72340
Haryana,Faridabad,2025-02,566
Haryana,Faridabad,2025-03,451
Haryana,Faridabad,2025-04,646
Haryana,Faridabad,2025-05,515
Haryana,Faridabad,2025-06,402
Haryana,Faridabad,2025-07,69
Haryana,Faridabad,2025-08,626
Haryana,Faridabad,2025-09,676
Haryana,Faridabad,2025-10,325
Haryana,Faridabad,2025-11,759
Haryana,Faridabad,2025-12,679
Haryana,Faridabad,NaT,3412
Haryana,Fatehabad,2025-01,43809
Haryana,Fatehabad,2025-02,189
Haryana,Fatehabad,2025-03,256
Haryana,Fatehabad,2025-04,140
Haryana,Fatehabad,2025-05,177
Haryana,Fatehabad,2025-06,179
Haryana,Fatehabad,2025-08,334
Haryana,Fatehabad,2025-09,376
Haryana,Fatehabad,2025-10,227
Haryana,Fatehabad,2025-11,361
Haryana,Fatehabad,2025-12,389
Haryana,Fatehabad,NaT,2276
Haryana,Gurgaon,2025-01,43304
Haryana,Gurgaon,2025-02,211
Haryana,Gurgaon,2025-03,260
Haryana,Gurgaon,2025-04,232
Haryana,Gurgaon,2025-05,305
Haryana,Gurgaon,2025-06,268
Haryana,Gurgaon,2025-07,91
Haryana,Gurgaon,2025-08,326
Haryana,Gurgaon,2025-09,347
Haryana,Gurgaon,2025-10,257
Haryana,Gurgaon,2025-11,344
Haryana,Gurgaon,2025-12,369
Haryana,Gurgaon,NaT,2028
Haryana,Hisar,2025-01,73439
Haryana,Hisar,2025-02,257
Haryana,Hisar,2025-03,415
Haryana,Hisar,2025-04,469
Haryana,Hisar,2025-05,552
Haryana,Hisar,2025-06,290
Haryana,Hisar,2025-07,32
Haryana,Hisar,2025-08,491
Haryana,Hisar,2025-09,551
Haryana,Hisar,2025-10,542
Haryana,Hisar,2025-11,500
Haryana,Hisar,2025-12,491
Haryana,Hisar,NaT,2838
Haryana,Jhajjar,2025-01,35673
Haryana,Jhajjar,2025-02,172
Haryana,Jhajjar,2025-03,346
Haryana,Jhajjar,2025-04,244
Haryana,Jhajjar,2025-05,265
Haryana,Jhajjar,2025-06,200
Haryana,Jhajjar,2025-07,5
Haryana,Jhajjar,2025-08,254
Haryana,Jhajjar,2025-09,278
Haryana,Jhajjar,2025-10,240
Haryana,Jhajjar,2025-11,303
Haryana,Jhajjar,2025-12,322
Haryana,Jhajjar,NaT,1649
Haryana,Jind,2025-01,56201
Haryana,Jind,2025-02,366
Haryana,Jind,2025-03,440
Haryana,Jind,2025-04,340
Haryana,Jind,2025-05,429
Haryana,Jind,2025-06,311
Haryana,Jind,2025-07,4
Haryana,Jind,2025-08,555
Haryana,Jind,2025-09,569
Haryana,Jind,2025-10,509
Haryana,Jind,2025-11,569
Haryana,Jind,2025-12,514
Haryana,Jind,NaT,2923
Haryana,Kaithal,2025-01,53431
Haryana,Kaithal,2025-02,472
Haryana,Kaithal,2025-03,331
Haryana,Kaithal,2025-04,379
Haryana,Kaithal,2025-05,544
Haryana,Kaithal,2025-06,228
Haryana,Kaithal,2025-07,3
Haryana,Kaithal,2025-08,461
Haryana,Kaithal,2025-09,544
Haryana,Kaithal,2025-10,450
Haryana,Kaithal,2025-11,405
Haryana,Kaithal,2025-12,487
Haryana,Kaithal,NaT,2271
Haryana,Karnal,2025-01,58914
Haryana,Karnal,2025-02,470
Haryana,Karnal,2025-03,407
Haryana,Karnal,2025-04,335
Haryana,Karnal,2025-05,514
Haryana,Karnal,2025-06,297
Haryana,Karnal,2025-07,26
Haryana,Karnal,2025-08,656
Haryana,Karnal,2025-09,623
Haryana,Karnal,2025-10,421
Haryana,Karnal,2025-11,482
Haryana,Karnal,2025-12,583
Haryana,Karnal,NaT,2925
Haryana,Kurukshetra,2025-01,44946
Haryana,Kurukshetra,2025-02,438
Haryana,Kurukshetra,2025-03,291
Haryana,Kurukshetra,2025-04,344
Haryana,Kurukshetra,2025-05,376
Haryana,Kurukshetra,2025-06,156
Haryana,Kurukshetra,2025-08,429
Haryana,Kurukshetra,2025-09,458
Haryana,Kurukshetra,2025-10,313
Haryana,Kurukshetra,2025-11,389
Haryana,Kurukshetra,2025-12,403
Haryana,Kurukshetra,NaT,2129
Haryana,Mahendragarh,2025-01,28209
Haryana,Mahendragarh,2025-02,266
Haryana,Mahendragarh,2025-03,262
Haryana,Mahendragarh,2025-04,268
Haryana,Mahendragarh,2025-05,282
Haryana,Mahendragarh,2025-06,136
Haryana,Mahendragarh,2025-07,24
Haryana,Mahendragarh,2025-08,340
Haryana,Mahendragarh,2025-09,229
Haryana,Mahendragarh,2025-10,131
Haryana,Mahendragarh,2025-11,299
Haryana,Mahendragarh,2025-12,249
Haryana,Mahendragarh,NaT,1447
Haryana,Mewat,2025-01,32669
Haryana,Mewat,2025-02,652
Haryana,Mewat,2025-03,1049
Haryana,Mewat,2025-04,893
Haryana,Mewat,2025-05,573
Haryana,Mewat,2025-06,441
Haryana,Mewat,2025-07,4
Haryana,Mewat,2025-08,864
Haryana,Mewat,2025-09,647
Haryana,Mewat,2025-10,581
Haryana,Mewat,2025-11,497
Haryana,Mewat,2025-12,424
Haryana,Mewat,NaT,2924
Haryana,Palwal,2025-01,32253
Haryana,Palwal,2025-02,417
Haryana,Palwal,2025-03,320
Haryana,Palwal,2025-04,340
Haryana,Palwal,2025-05,195
Haryana,Palwal,2025-06,289
Haryana,Palwal,2025-07,1
Haryana,Palwal,2025-08,524
Haryana,Palwal,2025-09,496
Haryana,Palwal,2025-10,415
Haryana,Palwal,2025-11,436
Haryana,Palwal,2025-12,400
Haryana,Palwal,NaT,2022
Haryana,Panchkula,2025-01,25325
Haryana,Panchkula,2025-02,133
Haryana,Panchkula,2025-03,52
Haryana,Panchkula,2025-04,155
Haryana,Panchkula,2025-05,157
Haryana,Panchkula,2025-06,62
Haryana,Panchkula,2025-07,7
Haryana,Panchkula,2025-08,164
Haryana,Panchkula,2025-09,180
Haryana,Panchkula,2025-10,100
Haryana,Panchkula,2025-11,158
Haryana,Panchkula,2025-12,166
Haryana,Panchkula,NaT,736
Haryana,Panipat,2025-01,50233
Haryana,Panipat,2025-02,310
Haryana,Panipat,2025-03,345
Haryana,Panipat,2025-04,268
Haryana,Panipat,2025-05,404
Haryana,Panipat,2025-06,71
Haryana,Panipat,2025-07,9
Haryana,Panipat,2025-08,481
Haryana,Panipat,2025-09,495
Haryana,Panipat,2025-10,491
Haryana,Panipat,2025-11,432
Haryana,Panipat,2025-12,443
Haryana,Panipat,NaT,2248
Haryana,Rewari,2025-01,30450
Haryana,Rewari,2025-02,138
Haryana,Rewari,2025-03,236
Haryana,Rewari,2025-04,231
Haryana,Rewari,2025-05,255
Haryana,Rewari,2025-06,257
Haryana,Rewari,2025-07,8
Haryana,Rewari,2025-08,313
Haryana,Rewari,2025-09,331
Haryana,Rewari,2025-10,233
Haryana,Rewari,2025-11,320
Haryana,Rewari,2025-12,297
Haryana,Rewari,NaT,1674
Haryana,Rohtak,2025-01,50044
Haryana,Rohtak,2025-02,266
Haryana,Rohtak,2025-03,334
Haryana,Rohtak,2025-04,330
Haryana,Rohtak,2025-05,420
Haryana,Rohtak,2025-06,176
Haryana,Rohtak,2025-07,19
Haryana,Rohtak,2025-08,506
Haryana,Rohtak,2025-09,432
Haryana,Rohtak,2025-10,269
Haryana,Rohtak,2025-11,364
Haryana,Rohtak,2025-12,456
Haryana,Rohtak,NaT,2234
Haryana,Sirsa,2025-01,60188
Haryana,Sirsa,2025-02,376
Haryana,Sirsa,2025-03,451
Haryana,Sirsa,2025-04,237
Haryana,Sirsa,2025-05,421
Haryana,Sirsa,2025-06,253
Haryana,Sirsa,2025-07,28
Haryana,Sirsa,2025-08,514
Haryana,Sirsa,2025-09,460
Haryana,Sirsa,2025-10,334
Haryana,Sirsa,2025-11,463
Haryana,Sirsa,2025-12,455
Haryana,Sirsa,NaT,2697
Haryana,Sonipat,2025-01,55000
Haryana,Sonipat,2025-02,371
Haryana,Sonipat,2025-03,357
Haryana,Sonipat,2025-04,350
Haryana,Sonipat,2025-05,365
Haryana,Sonipat,2025-06,301
Haryana,Sonipat,2025-07,12
Haryana,Sonipat,2025-08,449
Haryana,Sonipat,2025-09,471
Haryana,Sonipat,2025-10,354
Haryana,Sonipat,2025-11,450
Haryana,Sonipat,2025-12,445
Haryana,Sonipat,NaT,2380
Haryana,Yamuna Nagar,2025-01,54479
Haryana,Yamuna Nagar,2025-02,377
Haryana,Yamuna Nagar,2025-03,312
Haryana,Yamuna Nagar,2025-04,349
Haryana,Yamuna Nagar,2025-05,374
Haryana,Yamuna Nagar,2025-06,263
Haryana,Yamuna Nagar,2025-07,1
Haryana,Yamuna Nagar,2025-08,523
Haryana,Yamuna Nagar,2025-09,581
Haryana,Yamuna Nagar,2025-10,527
Haryana,Yamuna Nagar,2025-11,522
Haryana,Yamuna Nagar,2025-12,465
Haryana,Yamuna Nagar,NaT,2539
Haryana,Yamunanagar,2025-01,395
Haryana,Yamunanagar,2025-02,8
Haryana,Yamunanagar,2025-03,5
Haryana,Yamunanagar,2025-04,4
Haryana,Yamunanagar,2025-05,4
Haryana,Yamunanagar,2025-06,1
Haryana,Yamunanagar,2025-07,1
Haryana,Yamunanagar,2025-08,6
Haryana,Yamunanagar,2025-09,5
Haryana,Yamunanagar,2025-10,3
Haryana,Yamunanagar,2025-11,8
Haryana,Yamunanagar,2025-12,4
Haryana,Yamunanagar,NaT,36
Himachal Pradesh,Bilaspur,2025-01,12671
Himachal Pradesh,Bilaspur,2025-02,81
Himachal Pradesh,Bilaspur,2025-03,38
Himachal Pradesh,Bilaspur,2025-04,136
Himachal Pradesh,Bilaspur,2025-05,115
Himachal Pradesh,Bilaspur,2025-06,82
Himachal Pradesh,Bilaspur,2025-07,4
Himachal Pradesh,Bilaspur,2025-08,94
Himachal Pradesh,Bilaspur,2025-09,101
Himachal Pradesh,Bilaspur,2025-10,109
Himachal Pradesh,Bilaspur,2025-11,130
Himachal Pradesh,Bilaspur,2025-12,128
Himachal Pradesh,Bilaspur,NaT,523
Himachal Pradesh,Chamba,2025-01,19074
Himachal Pradesh,Chamba,2025-02,20
Himachal Pradesh,Chamba,2025-03,22
Himachal Pradesh,Chamba,2025-04,31
Himachal Pradesh,Chamba,2025-05,67
Himachal Pradesh,Chamba,2025-06,53
Himachal Pradesh,Chamba,2025-07,2
Himachal Pradesh,Chamba,2025-08,90
Himachal Pradesh,Chamba,2025-09,91
Himachal Pradesh,Chamba,2025-10,109
Himachal Pradesh,Chamba,2025-11,113
Himachal Pradesh,Chamba,2025-12,174
Himachal Pradesh,Chamba,NaT,1373
Himachal Pradesh,Hamirpur,2025-01,13096
Himachal Pradesh,Hamirpur,2025-02,103
Himachal Pradesh,Hamirpur,2025-03,109
Himachal Pradesh,Hamirpur,2025-04,93
Himachal Pradesh,Hamirpur,2025-05,100
Himachal Pradesh,Hamirpur,2025-06,119
Himachal Pradesh,Hamirpur,2025-08,111
Himachal Pradesh,Hamirpur,2025-09,144
Himachal Pradesh,Hamirpur,2025-10,140
Himachal Pradesh,Hamirpur,2025-11,135
Himachal Pradesh,Hamirpur,2025-12,161
Himachal Pradesh,Hamirpur,NaT,709
Himachal Pradesh,Kangra,2025-01,49628
Himachal Pradesh,Kangra,2025-02,245
Himachal Pradesh,Kangra,2025-03,298
Himachal Pradesh,Kangra,2025-04,339
Himachal Pradesh,Kangra,2025-05,341
Himachal Pradesh,Kangra,2025-06,269
Himachal Pradesh,Kangra,2025-07,6
Himachal Pradesh,Kangra,2025-08,312
Himachal Pradesh,Kangra,2025-09,347
Himachal Pradesh,Kangra,2025-10,297
Himachal Pradesh,Kangra,2025-11,479
Himachal Pradesh,Kangra,2025-12,540
Himachal Pradesh,Kangra,NaT,2775
Himachal Pradesh,Kinnaur,2025-01,2561
Himachal Pradesh,Kinnaur,2025-02,9
Himachal Pradesh,Kinnaur,2025-03,9
Himachal Pradesh,Kinnaur,2025-04,8
Himachal Pradesh,Kinnaur,2025-05,10
Himachal Pradesh,Kinnaur,2025-06,15
Himachal Pradesh,Kinnaur,2025-08,10
Himachal Pradesh,Kinnaur,2025-09,25
Himachal Pradesh,Kinnaur,2025-10,17
Himachal Pradesh,Kinnaur,2025-11,20
Himachal Pradesh,Kinnaur,2025-12,21
Himachal Pradesh,Kinnaur,NaT,91
Himachal Pradesh,Kullu,2025-01,12343
Himachal Pradesh,Kullu,2025-02,10
Himachal Pradesh,Kullu,2025-03,11
Himachal Pradesh,Kullu,2025-04,5
Himachal Pradesh,Kullu,2025-05,9
Himachal Pradesh,Kullu,2025-06,46
Himachal Pradesh,Kullu,2025-08,54
Himachal Pradesh,Kullu,2025-09,37
Himachal Pradesh,Kullu,2025-10,46
Himachal Pradesh,Kullu,2025-11,73
Himachal Pradesh,Kullu,2025-12,68
Himachal Pradesh,Kullu,NaT,372
Himachal Pradesh,Lahaul And Spiti,2025-08,2
Himachal Pradesh,Lahaul And Spiti,2025-09,1
Himachal Pradesh,Lahaul And Spiti,2025-11,1
Himachal Pradesh,Lahaul And Spiti,NaT,2
Himachal Pradesh,Lahul & Spiti,2025-01,78
Himachal Pradesh,Lahul & Spiti,2025-04,2
Himachal Pradesh,Lahul & Spiti,2025-05,2
Himachal Pradesh,Lahul & Spiti,2025-06,1
Himachal Pradesh,Lahul & Spiti,2025-08,10
Himachal Pradesh,Lahul & Spiti,2025-09,8
Himachal Pradesh,Lahul & Spiti,2025-10,4
Himachal Pradesh,Lahul & Spiti,2025-11,4
Himachal Pradesh,Lahul & Spiti,2025-12,9
Himachal Pradesh,Lahul & Spiti,NaT,49
Himachal Pradesh,Lahul And Spiti,2025-01,184
Himachal Pradesh,Lahul And Spiti,2025-04,3
Himachal Pradesh,Lahul And Spiti,2025-05,6
Himachal Pradesh,Lahul And Spiti,2025-08,11
Himachal Pradesh,Lahul And Spiti,2025-09,5
Himachal Pradesh,Lahul And Spiti,2025-10,1
Himachal Pradesh,Lahul And Spiti,2025-11,4
Himachal Pradesh,Lahul And Spiti,2025-12,7
Himachal Pradesh,Lahul And Spiti,NaT,34
Himachal Pradesh,Mandi,2025-01,37264
Himachal Pradesh,Mandi,2025-02,204
Himachal Pradesh,Mandi,2025-03,153
Himachal Pradesh,Mandi,2025-04,192
Himachal Pradesh,Mandi,2025-05,296
Himachal Pradesh,Mandi,2025-06,210
Himachal Pradesh,Mandi,2025-07,21
Himachal Pradesh,Mandi,2025-08,323
Himachal Pradesh,Mandi,2025-09,344
Himachal Pradesh,Mandi,2025-10,291
Himachal Pradesh,Mandi,2025-11,255
Himachal Pradesh,Mandi,2025-12,333
Himachal Pradesh,Mandi,NaT,1303
Himachal Pradesh,Shimla,2025-01,22179
Himachal Pradesh,Shimla,2025-02,63
Himachal Pradesh,Shimla,2025-03,24
Himachal Pradesh,Shimla,2025-04,90
Himachal Pradesh,Shimla,2025-05,131
Himachal Pradesh,Shimla,2025-06,117
Himachal Pradesh,Shimla,2025-07,21
Himachal Pradesh,Shimla,2025-08,168
Himachal Pradesh,Shimla,2025-09,166
Himachal Pradesh,Shimla,2025-10,119
Himachal Pradesh,Shimla,2025-11,156
Himachal Pradesh,Shimla,2025-12,169
Himachal Pradesh,Shimla,NaT,1115
Himachal Pradesh,Sirmaur,2025-01,21543
Himachal Pradesh,Sirmaur,2025-02,51
Himachal Pradesh,Sirmaur,2025-03,93
Himachal Pradesh,Sirmaur,2025-04,123
Himachal Pradesh,Sirmaur,2025-05,106
Himachal Pradesh,Sirmaur,2025-06,80
Himachal Pradesh,Sirmaur,2025-07,4
Himachal Pradesh,Sirmaur,2025-08,111
Himachal Pradesh,Sirmaur,2025-09,139
Himachal Pradesh,Sirmaur,2025-10,152
Himachal Pradesh,Sirmaur,2025-11,164
Himachal Pradesh,Sirmaur,2025-12,168
Himachal Pradesh,Sirmaur,NaT,725
Himachal Pradesh,Solan,2025-01,19808
Himachal Pradesh,Solan,2025-02,93
Himachal Pradesh,Solan,2025-03,29
Himachal Pradesh,Solan,2025-04,102
Himachal Pradesh,Solan,2025-05,151
Himachal Pradesh,Solan,2025-06,96
Himachal Pradesh,Solan,2025-07,2
Himachal Pradesh,Solan,2025-08,134
Himachal Pradesh,Solan,2025-09,150
Himachal Pradesh,Solan,2025-10,60
Himachal Pradesh,Solan,2025-11,119
Himachal Pradesh,Solan,2025-12,193
Himachal Pradesh,Solan,NaT,824
Himachal Pradesh,Una,2025-01,17696
Himachal Pradesh,Una,2025-02,167
Himachal Pradesh,Una,2025-03,116
Himachal Pradesh,Una,2025-04,154
Himachal Pradesh,Una,2025-05,111
Himachal Pradesh,Una,2025-06,84
Himachal Pradesh,Una,2025-07,1
Himachal Pradesh,Una,2025-08,128
Himachal Pradesh,Una,2025-09,112
Himachal Pradesh,Una,2025-10,90
Himachal Pradesh,Una,2025-11,247
Himachal Pradesh,Una,2025-12,145
Himachal Pradesh,Una,NaT,1135
Jammu & Kashmir,Baramula,2025-02,1
Jammu & Kashmir,Baramula,2025-03,1
Jammu & Kashmir,Baramula,2025-04,1
Jammu & Kashmir,Baramula,2025-06,2
Jammu & Kashmir,Baramula,2025-08,2
Jammu & Kashmir,Baramula,2025-09,3
Jammu & Kashmir,Baramula,2025-10,1
Jammu & Kashmir,Baramula,2025-11,1
Jammu & Kashmir,Baramula,NaT,6
Jammu & Kashmir,Doda,NaT,1
Jammu & Kashmir,Jammu,2025-01,2
Jammu & Kashmir,Jammu,2025-02,1
Jammu & Kashmir,Jammu,2025-03,4
Jammu & Kashmir,Jammu,2025-04,5
Jammu & Kashmir,Jammu,2025-05,2
Jammu & Kashmir,Jammu,2025-06,1
Jammu & Kashmir,Jammu,2025-08,2
Jammu & Kashmir,Jammu,2025-09,6
Jammu & Kashmir,Jammu,2025-11,5
Jammu & Kashmir,Jammu,2025-12,5
Jammu & Kashmir,Jammu,NaT,21
Jammu & Kashmir,Kargil,2025-09,1
Jammu & Kashmir,Kathua,2025-02,1
Jammu & Kashmir,Kathua,2025-06,2
Jammu & Kashmir,Leh (Ladakh),NaT,2
Jammu & Kashmir,Rajauri,2025-04,1
Jammu & Kashmir,Rajauri,NaT,1
Jammu & Kashmir,Srinagar,2025-09,1
Jammu & Kashmir,Udhampur,2025-06,1
Jammu & Kashmir,Udhampur,2025-10,1
Jammu & Kashmir,Udhampur,NaT,1
Jammu And Kashmir,Anantnag,2025-01,25864
Jammu And Kashmir,Anantnag,2025-02,188
Jammu And Kashmir,Anantnag,2025-03,22
Jammu And Kashmir,Anantnag,2025-04,184
Jammu And Kashmir,Anantnag,2025-05,79
Jammu And Kashmir,Anantnag,2025-06,71
Jammu And Kashmir,Anantnag,2025-08,182
Jammu And Kashmir,Anantnag,2025-09,173
Jammu And Kashmir,Anantnag,2025-10,198
Jammu And Kashmir,Anantnag,2025-11,180
Jammu And Kashmir,Anantnag,2025-12,6
Jammu And Kashmir,Anantnag,NaT,1023
Jammu And Kashmir,Badgam,2025-01,8888
Jammu And Kashmir,Badgam,2025-02,71
Jammu And Kashmir,Badgam,2025-03,40
Jammu And Kashmir,Badgam,2025-04,53
Jammu And Kashmir,Badgam,2025-05,35
Jammu And Kashmir,Badgam,2025-06,55
Jammu And Kashmir,Badgam,2025-07,1
Jammu And Kashmir,Badgam,2025-08,78
Jammu And Kashmir,Badgam,2025-09,65
Jammu And Kashmir,Badgam,2025-10,36
Jammu And Kashmir,Badgam,2025-11,43
Jammu And Kashmir,Badgam,2025-12,15
Jammu And Kashmir,Badgam,NaT,350
Jammu And Kashmir,Bandipore,2025-01,12629
Jammu And Kashmir,Bandipore,2025-02,119
Jammu And Kashmir,Bandipore,2025-03,127
Jammu And Kashmir,Bandipore,2025-04,97
Jammu And Kashmir,Bandipore,2025-05,62
Jammu And Kashmir,Bandipore,2025-06,81
Jammu And Kashmir,Bandipore,2025-08,112
Jammu And Kashmir,Bandipore,2025-09,120
Jammu And Kashmir,Bandipore,2025-10,78
Jammu And Kashmir,Bandipore,2025-11,60
Jammu And Kashmir,Bandipore,2025-12,13
Jammu And Kashmir,Bandipore,NaT,411
Jammu And Kashmir,Baramula,2025-01,36844
Jammu And Kashmir,Baramula,2025-02,377
Jammu And Kashmir,Baramula,2025-03,289
Jammu And Kashmir,Baramula,2025-04,323
Jammu And Kashmir,Baramula,2025-05,151
Jammu And Kashmir,Baramula,2025-06,215
Jammu And Kashmir,Baramula,2025-08,311
Jammu And Kashmir,Baramula,2025-09,336
Jammu And Kashmir,Baramula,2025-10,284
Jammu And Kashmir,Baramula,2025-11,290
Jammu And Kashmir,Baramula,2025-12,21
Jammu And Kashmir,Baramula,NaT,1614
Jammu And Kashmir,Budgam,2025-01,13745
Jammu And Kashmir,Budgam,2025-02,119
Jammu And Kashmir,Budgam,2025-03,70
Jammu And Kashmir,Budgam,2025-04,96
Jammu And Kashmir,Budgam,2025-05,47
Jammu And Kashmir,Budgam,2025-06,31
Jammu And Kashmir,Budgam,2025-08,83
Jammu And Kashmir,Budgam,2025-09,53
Jammu And Kashmir,Budgam,2025-10,107
Jammu And Kashmir,Budgam,2025-11,105
Jammu And Kashmir,Budgam,2025-12,16
Jammu And Kashmir,Budgam,NaT,618
Jammu And Kashmir,Doda,2025-01,20804
Jammu And Kashmir,Doda,2025-02,31
Jammu And Kashmir,Doda,2025-03,9
Jammu And Kashmir,Doda,2025-04,50
Jammu And Kashmir,Doda,2025-05,85
Jammu And Kashmir,Doda,2025-06,75
Jammu And Kashmir,Doda,2025-07,10
Jammu And Kashmir,Doda,2025-08,38
Jammu And Kashmir,Doda,2025-09,82
Jammu And Kashmir,Doda,2025-10,25
Jammu And Kashmir,Doda,2025-11,26
Jammu And Kashmir,Doda,2025-12,11
Jammu And Kashmir,Doda,NaT,447
Jammu And Kashmir,Ganderbal,2025-01,7768
Jammu And Kashmir,Ganderbal,2025-02,60
Jammu And Kashmir,Ganderbal,2025-03,50
Jammu And Kashmir,Ganderbal,2025-04,76
Jammu And Kashmir,Ganderbal,2025-05,44
Jammu And Kashmir,Ganderbal,2025-06,25
Jammu And Kashmir,Ganderbal,2025-07,1
Jammu And Kashmir,Ganderbal,2025-08,40
Jammu And Kashmir,Ganderbal,2025-09,64
Jammu And Kashmir,Ganderbal,2025-10,58
Jammu And Kashmir,Ganderbal,2025-11,49
Jammu And Kashmir,Ganderbal,2025-12,10
Jammu And Kashmir,Ganderbal,NaT,215
Jammu And Kashmir,Jammu,2025-01,55885
Jammu And Kashmir,Jammu,2025-02,293
Jammu And Kashmir,Jammu,2025-03,61
Jammu And Kashmir,Jammu,2025-04,422
Jammu And Kashmir,Jammu,2025-05,189
Jammu And Kashmir,Jammu,2025-06,259
Jammu And Kashmir,Jammu,2025-07,60
Jammu And Kashmir,Jammu,2025-08,507
Jammu And Kashmir,Jammu,2025-09,583
Jammu And Kashmir,Jammu,2025-10,295
Jammu And Kashmir,Jammu,2025-11,447
Jammu And Kashmir,Jammu,2025-12,173
Jammu And Kashmir,Jammu,NaT,3171
Jammu And Kashmir,Kargil,2025-01,1229
Jammu And Kashmir,Kargil,2025-02,6
