state,district,period,demographic_update_count
Chhattisgarh,Sarangarh-Bilaigarh,NaT,804
Chhattisgarh,Sukma,2025-01,842
Chhattisgarh,Sukma,2025-02,64
Chhattisgarh,Sukma,2025-03,21
Chhattisgarh,Sukma,2025-04,113
Chhattisgarh,Sukma,2025-05,84
Chhattisgarh,Sukma,2025-06,154
Chhattisgarh,Sukma,2025-08,426
Chhattisgarh,Sukma,2025-09,163
Chhattisgarh,Sukma,2025-10,36
Chhattisgarh,Sukma,2025-11,44
Chhattisgarh,Sukma,2025-12,222
Chhattisgarh,Sukma,NaT,1576
Chhattisgarh,Surajpur,2025-01,3329
Chhattisgarh,Surajpur,2025-02,223
Chhattisgarh,Surajpur,2025-03,316
Chhattisgarh,Surajpur,2025-04,435
Chhattisgarh,Surajpur,2025-05,83
Chhattisgarh,Surajpur,2025-06,290
Chhattisgarh,Surajpur,2025-08,986
Chhattisgarh,Surajpur,2025-09,844
Chhattisgarh,Surajpur,2025-10,499
Chhattisgarh,Surajpur,2025-11,67
Chhattisgarh,Surajpur,2025-12,172
Chhattisgarh,Surajpur,NaT,3907
Chhattisgarh,Surguja,2025-01,28273
Chhattisgarh,Surguja,2025-02,440
Chhattisgarh,Surguja,2025-03,322
Chhattisgarh,Surguja,2025-04,277
Chhattisgarh,Surguja,2025-05,132
Chhattisgarh,Surguja,2025-06,626
Chhattisgarh,Surguja,2025-07,128
Chhattisgarh,Surguja,2025-08,2516
Chhattisgarh,Surguja,2025-09,249
Chhattisgarh,Surguja,2025-10,1001
Chhattisgarh,Surguja,2025-11,267
Chhattisgarh,Surguja,2025-12,590
Chhattisgarh,Surguja,NaT,6194
Chhattisgarh,Uttar Bastar Kanker,2025-01,266
Chhattisgarh,Uttar Bastar Kanker,2025-02,39
Chhattisgarh,Uttar Bastar Kanker,2025-03,39
Chhattisgarh,Uttar Bastar Kanker,2025-04,149
Chhattisgarh,Uttar Bastar Kanker,2025-05,24
Chhattisgarh,Uttar Bastar Kanker,2025-06,69
Chhattisgarh,Uttar Bastar Kanker,2025-07,2
Chhattisgarh,Uttar Bastar Kanker,2025-08,134
Chhattisgarh,Uttar Bastar Kanker,2025-09,161
Chhattisgarh,Uttar Bastar Kanker,2025-10,147
Chhattisgarh,Uttar Bastar Kanker,2025-11,18
Chhattisgarh,Uttar Bastar Kanker,2025-12,24
Chhattisgarh,Uttar Bastar Kanker,NaT,1360
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-02,3
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-03,3
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-04,4
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-08,5
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-09,2
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-10,5
Dadra & Nagar Haveli,Dadra & Nagar Haveli,NaT,11
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-01,9
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-02,15
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-03,50
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-04,94
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-05,39
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-06,52
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-07,1
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-08,113
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-09,31
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-10,33
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-11,9
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-12,66
Dadra And Nagar Haveli,Dadra And Nagar Haveli,NaT,488
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-02,32
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-03,15
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-04,33
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-06,10
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-08,3
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-09,19
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-10,27
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,NaT,313
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-01,3
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-02,13
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-03,2
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-04,10
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-05,3
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-06,3
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-08,12
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-09,11
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-11,11
Dadra And Nagar Haveli And Daman And Diu,Daman,NaT,126
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-01,127
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-03,1
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-04,10
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-05,2
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-06,1
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-08,1
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-09,3
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-10,6
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-11,2
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-12,2
Dadra And Nagar Haveli And Daman And Diu,Diu,NaT,37
Daman & Diu,Daman,2025-01,3
Daman & Diu,Daman,2025-02,8
Daman & Diu,Daman,2025-03,1
Daman & Diu,Daman,2025-06,4
Daman & Diu,Daman,NaT,40
Daman & Diu,Diu,2025-02,3
Daman & Diu,Diu,2025-04,8
Daman & Diu,Diu,2025-06,1
Daman & Diu,Diu,2025-08,2
Daman & Diu,Diu,2025-09,2
Daman & Diu,Diu,2025-10,4
Daman & Diu,Diu,2025-12,4
Daman & Diu,Diu,NaT,30
Daman And Diu,Daman,2025-01,211
Daman And Diu,Daman,2025-03,12
Daman And Diu,Daman,2025-04,10
Daman And Diu,Daman,2025-05,15
Daman And Diu,Daman,2025-06,3
Daman And Diu,Daman,2025-08,16
Daman And Diu,Daman,2025-09,4
Daman And Diu,Daman,2025-10,13
Daman And Diu,Daman,2025-12,12
Daman And Diu,Daman,NaT,144
Daman And Diu,Diu,2025-02,2
Daman And Diu,Diu,2025-03,3
Daman And Diu,Diu,2025-04,8
Daman And Diu,Diu,2025-05,1
Daman And Diu,Diu,2025-06,1
Daman And Diu,Diu,2025-08,12
Daman And Diu,Diu,2025-09,12
Daman And Diu,Diu,NaT,57
Darbhanga,Near University Thana,NaT,2
Delhi,Central Delhi,2025-01,10785
Delhi,Central Delhi,2025-02,119
Delhi,Central Delhi,2025-03,93
Delhi,Central Delhi,2025-04,309
Delhi,Central Delhi,2025-05,34
Delhi,Central Delhi,2025-06,172
Delhi,Central Delhi,2025-07,13
Delhi,Central Delhi,2025-08,524
Delhi,Central Delhi,2025-09,106
Delhi,Central Delhi,2025-10,217
Delhi,Central Delhi,2025-11,193
Delhi,Central Delhi,2025-12,36
Delhi,Central Delhi,NaT,2301
Delhi,East Delhi,2025-01,59463
Delhi,East Delhi,2025-02,224
Delhi,East Delhi,2025-03,694
Delhi,East Delhi,2025-04,402
Delhi,East Delhi,2025-05,176
Delhi,East Delhi,2025-06,208
Delhi,East Delhi,2025-07,148
Delhi,East Delhi,2025-08,505
Delhi,East Delhi,2025-09,226
Delhi,East Delhi,2025-10,541
Delhi,East Delhi,2025-12,16
Delhi,East Delhi,NaT,6238
Delhi,Najafgarh,2025-01,3
Delhi,Najafgarh,2025-02,4
Delhi,Najafgarh,2025-04,7
Delhi,Najafgarh,2025-06,4
Delhi,Najafgarh,2025-07,2
Delhi,Najafgarh,2025-09,12
Delhi,Najafgarh,2025-12,3
Delhi,Najafgarh,NaT,16
Delhi,New Delhi,2025-01,318
Delhi,New Delhi,2025-02,7
Delhi,New Delhi,2025-03,31
Delhi,New Delhi,2025-04,23
Delhi,New Delhi,2025-05,6
Delhi,New Delhi,2025-06,16
Delhi,New Delhi,2025-08,34
Delhi,New Delhi,2025-09,23
Delhi,New Delhi,2025-10,10
Delhi,New Delhi,2025-12,10
Delhi,New Delhi,NaT,178
Delhi,North Delhi,2025-01,14055
Delhi,North Delhi,2025-02,31
Delhi,North Delhi,2025-03,214
Delhi,North Delhi,2025-04,114
Delhi,North Delhi,2025-05,113
Delhi,North Delhi,2025-06,160
Delhi,North Delhi,2025-07,79
Delhi,North Delhi,2025-08,210
Delhi,North Delhi,2025-09,276
Delhi,North Delhi,2025-10,99
Delhi,North Delhi,2025-11,71
Delhi,North Delhi,2025-12,234
Delhi,North Delhi,NaT,2971
Delhi,North East,2025-01,18
Delhi,North East,2025-03,11
Delhi,North East,2025-04,55
Delhi,North East,2025-06,62
Delhi,North East,2025-07,5
Delhi,North East,2025-08,233
Delhi,North East,2025-09,103
Delhi,North East,2025-10,107
Delhi,North East,2025-11,38
Delhi,North East,2025-12,34
Delhi,North East,NaT,956
Delhi,North East Delhi,2025-01,56329
Delhi,North East Delhi,2025-02,224
Delhi,North East Delhi,2025-03,40
Delhi,North East Delhi,2025-04,911
Delhi,North East Delhi,2025-05,204
Delhi,North East Delhi,2025-06,146
Delhi,North East Delhi,2025-07,122
Delhi,North East Delhi,2025-08,286
Delhi,North East Delhi,2025-09,169
Delhi,North East Delhi,2025-10,314
Delhi,North East Delhi,2025-11,230
Delhi,North East Delhi,2025-12,247
Delhi,North East Delhi,NaT,5704
Delhi,North West Delhi,2025-01,118258
Delhi,North West Delhi,2025-02,626
Delhi,North West Delhi,2025-03,643
Delhi,North West Delhi,2025-04,379
Delhi,North West Delhi,2025-05,585
Delhi,North West Delhi,2025-06,803
Delhi,North West Delhi,2025-07,222
Delhi,North West Delhi,2025-08,889
Delhi,North West Delhi,2025-09,1124
Delhi,North West Delhi,2025-10,530
Delhi,North West Delhi,2025-11,620
Delhi,North West Delhi,2025-12,677
Delhi,North West Delhi,NaT,12219
Delhi,Shahdara,2025-01,10111
Delhi,Shahdara,2025-02,36
Delhi,Shahdara,2025-03,108
Delhi,Shahdara,2025-04,79
Delhi,Shahdara,2025-05,49
Delhi,Shahdara,2025-06,21
Delhi,Shahdara,2025-07,30
Delhi,Shahdara,2025-08,193
Delhi,Shahdara,2025-09,76
Delhi,Shahdara,2025-10,105
Delhi,Shahdara,2025-11,128
Delhi,Shahdara,2025-12,42
Delhi,Shahdara,NaT,838
Delhi,South Delhi,2025-01,46501
Delhi,South Delhi,2025-02,256
Delhi,South Delhi,2025-03,299
Delhi,South Delhi,2025-04,1094
Delhi,South Delhi,2025-05,361
Delhi,South Delhi,2025-06,395
Delhi,South Delhi,2025-07,208
Delhi,South Delhi,2025-08,767
Delhi,South Delhi,2025-09,684
Delhi,South Delhi,2025-10,655
Delhi,South Delhi,2025-11,301
Delhi,South Delhi,2025-12,440
Delhi,South Delhi,NaT,7296
Delhi,South East Delhi,2025-01,8
Delhi,South East Delhi,2025-04,12
Delhi,South East Delhi,2025-05,2
Delhi,South East Delhi,2025-06,16
Delhi,South East Delhi,2025-07,4
Delhi,South East Delhi,2025-10,6
Delhi,South East Delhi,2025-11,8
Delhi,South East Delhi,2025-12,28
Delhi,South East Delhi,NaT,180
Delhi,South West Delhi,2025-01,47151
Delhi,South West Delhi,2025-02,336
Delhi,South West Delhi,2025-03,280
Delhi,South West Delhi,2025-04,562
Delhi,South West Delhi,2025-05,337
Delhi,South West Delhi,2025-06,433
Delhi,South West Delhi,2025-07,96
Delhi,South West Delhi,2025-08,1060
Delhi,South West Delhi,2025-09,480
Delhi,South West Delhi,2025-10,560
Delhi,South West Delhi,2025-11,50
Delhi,South West Delhi,2025-12,674
Delhi,South West Delhi,NaT,7002
Delhi,West Delhi,2025-01,90507
Delhi,West Delhi,2025-02,648
Delhi,West Delhi,2025-03,211
Delhi,West Delhi,2025-04,1439
Delhi,West Delhi,2025-05,314
Delhi,West Delhi,2025-06,674
Delhi,West Delhi,2025-07,27
Delhi,West Delhi,2025-08,166
Delhi,West Delhi,2025-09,1127
Delhi,West Delhi,2025-10,149
Delhi,West Delhi,2025-11,378
Delhi,West Delhi,2025-12,508
Delhi,West Delhi,NaT,7532
Goa,Bardez,2025-06,1
Goa,Bardez,2025-08,2
Goa,Bardez,NaT,5
Goa,North Goa,2025-01,1889
Goa,North Goa,2025-02,80
Goa,North Goa,2025-03,102
Goa,North Goa,2025-04,206
Goa,North Goa,2025-05,90
Goa,North Goa,2025-06,94
Goa,North Goa,2025-07,1
Goa,North Goa,2025-08,255
Goa,North Goa,2025-09,203
Goa,North Goa,2025-10,109
Goa,North Goa,2025-11,53
Goa,North Goa,2025-12,196
Goa,North Goa,NaT,1810
Goa,South Goa,2025-01,760
Goa,South Goa,2025-02,53
Goa,South Goa,2025-03,76
Goa,South Goa,2025-04,112
Goa,South Goa,2025-05,76
Goa,South Goa,2025-06,85
Goa,South Goa,2025-07,9
Goa,South Goa,2025-08,157
Goa,South Goa,2025-09,227
Goa,South Goa,2025-10,149
Goa,South Goa,2025-11,91
Goa,South Goa,2025-12,132
Goa,South Goa,NaT,1579
Goa,Tiswadi,2025-01,1
Goa,Tiswadi,2025-12,2
Gujarat,Ahmadabad,2025-01,31
Gujarat,Ahmadabad,2025-02,30
Gujarat,Ahmadabad,2025-03,64
Gujarat,Ahmadabad,2025-04,87
Gujarat,Ahmadabad,2025-05,31
Gujarat,Ahmadabad,2025-06,52
Gujarat,Ahmadabad,2025-08,128
Gujarat,Ahmadabad,2025-09,113
Gujarat,Ahmadabad,2025-10,63
Gujarat,Ahmadabad,2025-11,24
Gujarat,Ahmadabad,2025-12,96
Gujarat,Ahmadabad,NaT,1050
Gujarat,Ahmedabad,2025-01,51688
Gujarat,Ahmedabad,2025-02,896
Gujarat,Ahmedabad,2025-03,1570
Gujarat,Ahmedabad,2025-04,1664
Gujarat,Ahmedabad,2025-05,687
Gujarat,Ahmedabad,2025-06,1017
Gujarat,Ahmedabad,2025-07,102
Gujarat,Ahmedabad,2025-08,1332
Gujarat,Ahmedabad,2025-09,1254
Gujarat,Ahmedabad,2025-10,1729
Gujarat,Ahmedabad,2025-11,327
Gujarat,Ahmedabad,2025-12,1755
Gujarat,Ahmedabad,NaT,16714
Gujarat,Amreli,2025-01,3306
Gujarat,Amreli,2025-02,190
Gujarat,Amreli,2025-03,206
Gujarat,Amreli,2025-04,189
Gujarat,Amreli,2025-05,78
Gujarat,Amreli,2025-06,106
Gujarat,Amreli,2025-07,8
Gujarat,Amreli,2025-08,266
Gujarat,Amreli,2025-09,299
Gujarat,Amreli,2025-10,208
Gujarat,Amreli,2025-11,152
Gujarat,Amreli,2025-12,291
Gujarat,Amreli,NaT,2227
Gujarat,Anand,2025-01,5814
Gujarat,Anand,2025-02,273
Gujarat,Anand,2025-03,341
Gujarat,Anand,2025-04,212
Gujarat,Anand,2025-05,125
Gujarat,Anand,2025-06,262
Gujarat,Anand,2025-07,6
Gujarat,Anand,2025-08,479
Gujarat,Anand,2025-09,303
Gujarat,Anand,2025-10,334
Gujarat,Anand,2025-11,108
Gujarat,Anand,2025-12,240
Gujarat,Anand,NaT,3236
Gujarat,Arvalli,2025-01,982
Gujarat,Arvalli,2025-02,31
Gujarat,Arvalli,2025-03,35
Gujarat,Arvalli,2025-04,88
Gujarat,Arvalli,2025-05,9
Gujarat,Arvalli,2025-06,18
Gujarat,Arvalli,2025-08,82
Gujarat,Arvalli,2025-09,66
Gujarat,Arvalli,2025-10,49
Gujarat,Arvalli,2025-11,38
Gujarat,Arvalli,2025-12,40
Gujarat,Arvalli,NaT,810
Gujarat,Banas Kantha,2025-01,4
Gujarat,Banas Kantha,2025-02,1
Gujarat,Banas Kantha,2025-04,5
Gujarat,Banas Kantha,2025-05,4
Gujarat,Banas Kantha,2025-06,1
Gujarat,Banas Kantha,2025-08,10
Gujarat,Banas Kantha,2025-09,3
Gujarat,Banas Kantha,2025-10,5
Gujarat,Banas Kantha,2025-11,9
Gujarat,Banas Kantha,2025-12,4
Gujarat,Banas Kantha,NaT,87
Gujarat,Banaskantha,2025-01,14902
Gujarat,Banaskantha,2025-02,371
Gujarat,Banaskantha,2025-03,562
Gujarat,Banaskantha,2025-04,545
Gujarat,Banaskantha,2025-05,189
Gujarat,Banaskantha,2025-06,201
Gujarat,Banaskantha,2025-07,4
Gujarat,Banaskantha,2025-08,354
Gujarat,Banaskantha,2025-09,276
Gujarat,Banaskantha,2025-10,725
Gujarat,Banaskantha,2025-11,89
Gujarat,Banaskantha,2025-12,501
Gujarat,Banaskantha,NaT,6238
Gujarat,Bharuch,2025-01,9676
Gujarat,Bharuch,2025-02,252
Gujarat,Bharuch,2025-03,283
Gujarat,Bharuch,2025-04,208
Gujarat,Bharuch,2025-05,167
Gujarat,Bharuch,2025-06,230
Gujarat,Bharuch,2025-07,17
Gujarat,Bharuch,2025-08,566
Gujarat,Bharuch,2025-09,216
Gujarat,Bharuch,2025-10,307
Gujarat,Bharuch,2025-11,24
Gujarat,Bharuch,2025-12,296
Gujarat,Bharuch,NaT,3454
Gujarat,Bhavnagar,2025-01,6669
Gujarat,Bhavnagar,2025-02,208
Gujarat,Bhavnagar,2025-03,318
Gujarat,Bhavnagar,2025-04,648
Gujarat,Bhavnagar,2025-05,118
Gujarat,Bhavnagar,2025-06,239
Gujarat,Bhavnagar,2025-07,34
Gujarat,Bhavnagar,2025-08,568
Gujarat,Bhavnagar,2025-09,545
Gujarat,Bhavnagar,2025-10,363
Gujarat,Bhavnagar,2025-11,243
Gujarat,Bhavnagar,2025-12,293
Gujarat,Bhavnagar,NaT,4472
Gujarat,Botad,2025-01,359
Gujarat,Botad,2025-02,44
Gujarat,Botad,2025-03,2
Gujarat,Botad,2025-04,97
Gujarat,Botad,2025-05,28
Gujarat,Botad,2025-06,37
Gujarat,Botad,2025-08,101
Gujarat,Botad,2025-09,10
Gujarat,Botad,2025-10,79
Gujarat,Botad,2025-11,25
Gujarat,Botad,2025-12,33
Gujarat,Botad,NaT,544
Gujarat,Chhotaudepur,2025-01,2071
Gujarat,Chhotaudepur,2025-02,60
Gujarat,Chhotaudepur,2025-03,37
Gujarat,Chhotaudepur,2025-04,77
Gujarat,Chhotaudepur,2025-05,27
Gujarat,Chhotaudepur,2025-06,50
Gujarat,Chhotaudepur,2025-07,1
Gujarat,Chhotaudepur,2025-08,156
Gujarat,Chhotaudepur,2025-09,92
Gujarat,Chhotaudepur,2025-10,112
Gujarat,Chhotaudepur,2025-11,45
Gujarat,Chhotaudepur,2025-12,56
Gujarat,Chhotaudepur,NaT,676
Gujarat,Dahod,2025-01,5033
Gujarat,Dahod,2025-02,132
Gujarat,Dahod,2025-03,225
Gujarat,Dahod,2025-04,204
Gujarat,Dahod,2025-05,71
Gujarat,Dahod,2025-06,117
Gujarat,Dahod,2025-07,15
Gujarat,Dahod,2025-08,377
Gujarat,Dahod,2025-09,387
Gujarat,Dahod,2025-10,275
Gujarat,Dahod,2025-11,192
Gujarat,Dahod,2025-12,286
Gujarat,Dahod,NaT,2775
Gujarat,Devbhumi Dwarka,2025-01,1045
Gujarat,Devbhumi Dwarka,2025-02,43
Gujarat,Devbhumi Dwarka,2025-03,40
Gujarat,Devbhumi Dwarka,2025-04,53
Gujarat,Devbhumi Dwarka,2025-05,25
Gujarat,Devbhumi Dwarka,2025-06,53
Gujarat,Devbhumi Dwarka,2025-07,1
Gujarat,Devbhumi Dwarka,2025-08,56
Gujarat,Devbhumi Dwarka,2025-09,52
Gujarat,Devbhumi Dwarka,2025-10,35
Gujarat,Devbhumi Dwarka,2025-11,29
Gujarat,Devbhumi Dwarka,2025-12,92
Gujarat,Devbhumi Dwarka,NaT,667
Gujarat,Dohad,2025-01,485
Gujarat,Dohad,2025-02,36
Gujarat,Dohad,2025-03,60
Gujarat,Dohad,2025-04,49
Gujarat,Dohad,2025-05,23
Gujarat,Dohad,2025-06,20
Gujarat,Dohad,2025-07,2
Gujarat,Dohad,2025-08,28
Gujarat,Dohad,2025-09,45
Gujarat,Dohad,2025-10,40
Gujarat,Dohad,2025-11,41
Gujarat,Dohad,2025-12,68
Gujarat,Dohad,NaT,462
Gujarat,Gandhinagar,2025-01,10243
Gujarat,Gandhinagar,2025-02,120
Gujarat,Gandhinagar,2025-03,301
Gujarat,Gandhinagar,2025-04,326
Gujarat,Gandhinagar,2025-05,65
Gujarat,Gandhinagar,2025-06,225
Gujarat,Gandhinagar,2025-07,4
Gujarat,Gandhinagar,2025-08,352
Gujarat,Gandhinagar,2025-09,391
Gujarat,Gandhinagar,2025-10,373
Gujarat,Gandhinagar,2025-11,254
Gujarat,Gandhinagar,2025-12,218
Gujarat,Gandhinagar,NaT,3446
Gujarat,Gir Somnath,2025-01,1574
Gujarat,Gir Somnath,2025-02,64
Gujarat,Gir Somnath,2025-03,109
Gujarat,Gir Somnath,2025-04,132
Gujarat,Gir Somnath,2025-05,32
Gujarat,Gir Somnath,2025-06,73
Gujarat,Gir Somnath,2025-07,2
Gujarat,Gir Somnath,2025-08,79
Gujarat,Gir Somnath,2025-09,63
Gujarat,Gir Somnath,2025-10,39
Gujarat,Gir Somnath,2025-11,30
Gujarat,Gir Somnath,2025-12,104
Gujarat,Gir Somnath,NaT,1025
Gujarat,Jamnagar,2025-01,10088
Gujarat,Jamnagar,2025-02,181
Gujarat,Jamnagar,2025-03,265
Gujarat,Jamnagar,2025-04,251
Gujarat,Jamnagar,2025-05,104
Gujarat,Jamnagar,2025-06,335
Gujarat,Jamnagar,2025-07,13
Gujarat,Jamnagar,2025-08,420
Gujarat,Jamnagar,2025-09,248
Gujarat,Jamnagar,2025-10,313
Gujarat,Jamnagar,2025-11,144
Gujarat,Jamnagar,2025-12,486
Gujarat,Jamnagar,NaT,3514
Gujarat,Junagadh,2025-01,2169
Gujarat,Junagadh,2025-02,223
Gujarat,Junagadh,2025-03,266
Gujarat,Junagadh,2025-04,278
Gujarat,Junagadh,2025-05,101
Gujarat,Junagadh,2025-06,148
Gujarat,Junagadh,2025-07,12
Gujarat,Junagadh,2025-08,285
Gujarat,Junagadh,2025-09,243
Gujarat,Junagadh,2025-10,314
Gujarat,Junagadh,2025-11,111
Gujarat,Junagadh,2025-12,332
Gujarat,Junagadh,NaT,3407
Gujarat,Kachchh,2025-01,3747
Gujarat,Kachchh,2025-02,304
Gujarat,Kachchh,2025-03,471
Gujarat,Kachchh,2025-04,314
Gujarat,Kachchh,2025-05,128
Gujarat,Kachchh,2025-06,236
Gujarat,Kachchh,2025-07,14
Gujarat,Kachchh,2025-08,256
Gujarat,Kachchh,2025-09,151
Gujarat,Kachchh,2025-10,333
Gujarat,Kachchh,2025-11,176
Gujarat,Kachchh,2025-12,417
Gujarat,Kachchh,NaT,5105
Gujarat,Kheda,2025-01,10121
Gujarat,Kheda,2025-02,230
Gujarat,Kheda,2025-03,353
Gujarat,Kheda,2025-04,228
Gujarat,Kheda,2025-05,76
Gujarat,Kheda,2025-06,333
Gujarat,Kheda,2025-07,4
Gujarat,Kheda,2025-08,450
Gujarat,Kheda,2025-09,428
Gujarat,Kheda,2025-10,531
Gujarat,Kheda,2025-11,270
Gujarat,Kheda,2025-12,531
Gujarat,Kheda,NaT,4478
Gujarat,Mahesana,2025-01,5162
Gujarat,Mahesana,2025-02,173
Gujarat,Mahesana,2025-03,182
Gujarat,Mahesana,2025-04,542
Gujarat,Mahesana,2025-05,151
Gujarat,Mahesana,2025-06,241
Gujarat,Mahesana,2025-07,2
Gujarat,Mahesana,2025-08,372
Gujarat,Mahesana,2025-09,285
Gujarat,Mahesana,2025-10,415
Gujarat,Mahesana,2025-11,271
Gujarat,Mahesana,2025-12,443
Gujarat,Mahesana,NaT,4163
Gujarat,Mahisagar,2025-01,614
Gujarat,Mahisagar,2025-02,30
Gujarat,Mahisagar,2025-03,60
Gujarat,Mahisagar,2025-04,53
Gujarat,Mahisagar,2025-05,16
Gujarat,Mahisagar,2025-06,71
Gujarat,Mahisagar,2025-07,4
Gujarat,Mahisagar,2025-08,71
Gujarat,Mahisagar,2025-09,58
Gujarat,Mahisagar,2025-10,61
Gujarat,Mahisagar,2025-11,61
Gujarat,Mahisagar,2025-12,34
Gujarat,Mahisagar,NaT,829
Gujarat,Morbi,2025-01,3392
Gujarat,Morbi,2025-02,93
Gujarat,Morbi,2025-03,91
Gujarat,Morbi,2025-04,91
Gujarat,Morbi,2025-05,38
Gujarat,Morbi,2025-06,101
Gujarat,Morbi,2025-07,5
Gujarat,Morbi,2025-08,74
Gujarat,Morbi,2025-09,41
Gujarat,Morbi,2025-10,75
Gujarat,Morbi,2025-11,43
Gujarat,Morbi,2025-12,170
Gujarat,Morbi,NaT,1006
Gujarat,Narmada,2025-01,2423
Gujarat,Narmada,2025-02,93
Gujarat,Narmada,2025-03,66
Gujarat,Narmada,2025-04,64
Gujarat,Narmada,2025-05,32
Gujarat,Narmada,2025-06,28
Gujarat,Narmada,2025-07,2
Gujarat,Narmada,2025-08,59
Gujarat,Narmada,2025-09,40
Gujarat,Narmada,2025-10,108
Gujarat,Narmada,2025-11,116
Gujarat,Narmada,2025-12,81
Gujarat,Narmada,NaT,1027
Gujarat,Navsari,2025-01,4043
Gujarat,Navsari,2025-02,196
Gujarat,Navsari,2025-03,69
Gujarat,Navsari,2025-04,178
Gujarat,Navsari,2025-05,116
Gujarat,Navsari,2025-06,105
Gujarat,Navsari,2025-07,14
Gujarat,Navsari,2025-08,332
Gujarat,Navsari,2025-09,219
Gujarat,Navsari,2025-10,225
Gujarat,Navsari,2025-11,153
Gujarat,Navsari,2025-12,284
Gujarat,Navsari,NaT,2254
Gujarat,Panch Mahals,2025-01,1
Gujarat,Panch Mahals,2025-02,5
Gujarat,Panch Mahals,2025-03,7
Gujarat,Panch Mahals,2025-04,2
Gujarat,Panch Mahals,2025-06,1
Gujarat,Panch Mahals,2025-08,7
Gujarat,Panch Mahals,2025-09,1
Gujarat,Panch Mahals,2025-10,2
Gujarat,Panch Mahals,2025-11,1
Gujarat,Panch Mahals,2025-12,8
Gujarat,Panch Mahals,NaT,40
Gujarat,Panchmahals,2025-01,2104
Gujarat,Panchmahals,2025-02,76
Gujarat,Panchmahals,2025-03,143
Gujarat,Panchmahals,2025-04,491
Gujarat,Panchmahals,2025-05,214
Gujarat,Panchmahals,2025-06,201
Gujarat,Panchmahals,2025-07,5
Gujarat,Panchmahals,2025-08,333
Gujarat,Panchmahals,2025-09,225
Gujarat,Panchmahals,2025-10,347
Gujarat,Panchmahals,2025-11,226
Gujarat,Panchmahals,2025-12,374
Gujarat,Panchmahals,NaT,2737
Gujarat,Patan,2025-01,2445
Gujarat,Patan,2025-02,88
Gujarat,Patan,2025-03,92
Gujarat,Patan,2025-04,429
Gujarat,Patan,2025-05,86
Gujarat,Patan,2025-06,236
Gujarat,Patan,2025-07,7
Gujarat,Patan,2025-08,255
Gujarat,Patan,2025-09,307
Gujarat,Patan,2025-10,312
Gujarat,Patan,2025-11,235
Gujarat,Patan,2025-12,284
Gujarat,Patan,NaT,2861
Gujarat,Porbandar,2025-01,889
Gujarat,Porbandar,2025-02,110
Gujarat,Porbandar,2025-03,44
Gujarat,Porbandar,2025-04,191
Gujarat,Porbandar,2025-05,40
Gujarat,Porbandar,2025-06,187
Gujarat,Porbandar,2025-07,1
